"Story","Title","Result","Date","Stability","Duration (s)"
"Booking crud test","This method will generate the token","SUCCESS","2023-06-06T23:59:39.163+01:00[Europe/London]","0.0","4.1"
"Booking crud test","This method will get all booking Ids","SUCCESS","2023-06-06T23:59:43.283+01:00[Europe/London]","0.0","0.68"
"Booking crud test","This method will add new booking information to the application and verify the booking has been added","SUCCESS","2023-06-06T23:59:43.965+01:00[Europe/London]","0.0","0.63"
"Booking crud test","This method will get single booking Id","SUCCESS","2023-06-06T23:59:44.594+01:00[Europe/London]","0.0","0.5"
"Booking crud test","This method will update booking information","SUCCESS","2023-06-06T23:59:45.095+01:00[Europe/London]","0.0","0.51"
"Booking crud test","This method will update partial booking information","SUCCESS","2023-06-06T23:59:45.611+01:00[Europe/London]","0.0","0.57"
"Booking crud test","This method will delete booking information","SUCCESS","2023-06-06T23:59:46.186+01:00[Europe/London]","0.0","0.54"
"Tag test","Provide a 405 status code when incorrect HTTP method is used to access resource","ERROR","2023-06-06T23:59:47.931+01:00[Europe/London]","0.0","0.04"
"Tag test","This test will verify if a status code of 200 is returned for GET request","ERROR","2023-06-06T23:59:48.067+01:00[Europe/London]","0.0","0.02"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-06-06T23:59:48.087+01:00[Europe/London]","0.0","0.56"
